               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086709,            0.018759,                   0,             0.36794,             0.37866,             0.28846,             0.10968,            0.058669,           0.0092894,                   0,            0.070144,           0.0033173,           0.0033173
                   1,            0.058204,            0.017144,                   0,             0.48398,             0.44234,             0.39316,             0.14458,            0.056776,           0.0079216,                   0,              0.0401,           0.0066067,           0.0066067
                   2,            0.053126,            0.016084,                   0,             0.50287,             0.43546,             0.40028,             0.16198,            0.054601,           0.0077709,                   0,            0.010012,           0.0098522,           0.0098522
                   3,              0.0514,            0.016176,                   0,             0.50753,             0.50022,             0.44682,             0.16539,             0.05449,           0.0077444,                   0,            0.009802,            0.009802,            0.009802
                   4,            0.048819,            0.015681,                   0,             0.59485,             0.50795,             0.49283,             0.21595,            0.051087,           0.0074654,                   0,            0.009802,            0.009802,            0.009802
                   5,            0.047045,            0.014883,                   0,             0.62585,             0.54389,             0.48517,             0.18429,            0.051868,           0.0079916,                   0,            0.009736,            0.009736,            0.009736
                   6,            0.045464,            0.014824,                   0,              0.6126,             0.55766,             0.50849,             0.20835,            0.051701,           0.0079495,                   0,             0.00967,             0.00967,             0.00967
                   7,            0.044101,            0.014377,                   0,             0.63896,             0.56627,              0.5388,             0.23092,            0.051593,           0.0074026,                   0,            0.009604,            0.009604,            0.009604
                   8,            0.043306,             0.01419,                   0,             0.67708,             0.54854,             0.54792,             0.24862,            0.051749,           0.0071858,                   0,            0.009538,            0.009538,            0.009538
                   9,            0.042431,            0.013865,                   0,             0.65805,             0.59208,             0.58507,             0.23832,            0.049534,           0.0075888,                   0,            0.009472,            0.009472,            0.009472
                  10,            0.041626,            0.013822,                   0,             0.67346,             0.56796,             0.60414,             0.26537,             0.04928,           0.0076116,                   0,            0.009406,            0.009406,            0.009406
                  11,            0.040844,            0.013884,                   0,             0.62065,              0.6179,             0.60331,             0.27326,            0.047077,           0.0077512,                   0,             0.00934,             0.00934,             0.00934
                  12,            0.040527,             0.01362,                   0,             0.65943,             0.60986,             0.58364,             0.25961,            0.049071,           0.0072121,                   0,            0.009274,            0.009274,            0.009274
                  13,                0.04,            0.013132,                   0,              0.5674,             0.54733,             0.49392,              0.2271,            0.050272,           0.0079358,                   0,            0.009208,            0.009208,            0.009208
                  14,            0.039297,             0.01333,                   0,              0.6644,             0.61674,             0.56721,             0.26092,            0.052198,           0.0073551,                   0,            0.009142,            0.009142,            0.009142
                  15,            0.038427,            0.013356,                   0,             0.69761,              0.5938,             0.58733,             0.26662,            0.048523,           0.0078315,                   0,            0.009076,            0.009076,            0.009076
                  16,            0.038205,            0.012877,                   0,             0.65439,             0.61962,             0.60953,             0.28611,            0.048263,           0.0077137,                   0,             0.00901,             0.00901,             0.00901
                  17,            0.037992,            0.012971,                   0,               0.633,             0.57487,             0.52969,             0.24568,            0.049411,            0.007886,                   0,            0.008944,            0.008944,            0.008944
                  18,            0.037962,               0.013,                   0,             0.66547,             0.59919,             0.59951,             0.27503,            0.050268,           0.0073298,                   0,            0.008878,            0.008878,            0.008878
                  19,            0.037585,            0.012939,                   0,             0.63159,             0.51342,             0.51694,             0.24663,            0.053255,            0.007659,                   0,            0.008812,            0.008812,            0.008812
                  20,            0.036906,            0.012617,                   0,             0.67487,             0.60585,             0.59218,             0.28402,            0.049795,              0.0078,                   0,            0.008746,            0.008746,            0.008746
                  21,             0.03658,            0.012572,                   0,             0.67723,             0.56282,             0.53448,              0.2576,            0.049868,           0.0076245,                   0,             0.00868,             0.00868,             0.00868
                  22,            0.036582,            0.012555,                   0,             0.66029,             0.57831,             0.53874,             0.24939,            0.049989,           0.0075363,                   0,            0.008614,            0.008614,            0.008614
                  23,            0.035271,             0.01241,                   0,             0.65627,             0.59725,             0.57589,             0.26732,            0.050948,           0.0078327,                   0,            0.008548,            0.008548,            0.008548
                  24,             0.03529,            0.012411,                   0,             0.64941,             0.58864,             0.54044,             0.24626,              0.0514,           0.0081176,                   0,            0.008482,            0.008482,            0.008482
                  25,            0.035162,            0.012253,                   0,             0.64218,              0.5938,             0.56928,             0.26749,            0.048854,           0.0074638,                   0,            0.008416,            0.008416,            0.008416
                  26,            0.034621,            0.012132,                   0,             0.67602,             0.63167,             0.55853,             0.27304,             0.04762,           0.0079805,                   0,             0.00835,             0.00835,             0.00835
                  27,            0.034524,             0.01222,                   0,             0.62681,             0.55766,             0.53629,             0.25056,            0.052849,           0.0076888,                   0,            0.008284,            0.008284,            0.008284
                  28,            0.034357,            0.012022,                   0,             0.66533,             0.56282,             0.52675,              0.2523,            0.050216,           0.0078763,                   0,            0.008218,            0.008218,            0.008218
                  29,             0.03427,            0.012032,                   0,             0.66664,             0.58513,             0.54883,             0.27641,            0.048077,           0.0075497,                   0,            0.008152,            0.008152,            0.008152
                  30,            0.034566,            0.011992,                   0,             0.66972,             0.58864,             0.57321,             0.27168,            0.050672,           0.0074702,                   0,            0.008086,            0.008086,            0.008086
