               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071954,            0.017998,                   0,             0.64184,             0.61618,             0.65158,             0.28584,             0.04421,           0.0065477,                   0,            0.070042,           0.0033287,           0.0033287
                   1,            0.050077,              0.0155,                   0,             0.70819,             0.70176,             0.76455,             0.36716,            0.039234,           0.0059227,                   0,            0.039822,           0.0064422,           0.0064422
                   2,            0.047723,            0.014931,                   0,             0.74038,              0.6833,             0.74235,             0.33534,            0.041776,           0.0062339,                   0,            0.009382,           0.0093357,           0.0093357
                   3,            0.046742,             0.01502,                   0,             0.66867,              0.7074,              0.6939,             0.31822,            0.040576,           0.0060424,                   0,             0.00901,             0.00901,             0.00901
                   4,            0.044613,            0.014538,                   0,             0.72574,             0.73322,             0.78955,             0.38078,            0.037305,           0.0057581,                   0,             0.00901,             0.00901,             0.00901
                   5,            0.042769,            0.014181,                   0,             0.77749,             0.77969,             0.81251,             0.42683,            0.035434,           0.0056507,                   0,             0.00868,             0.00868,             0.00868
                   6,            0.041414,            0.013822,                   0,             0.79426,             0.79736,             0.85244,             0.42464,            0.035309,           0.0055445,                   0,             0.00835,             0.00835,             0.00835
                   7,            0.040545,            0.013679,                   0,             0.78282,             0.81756,              0.8412,              0.4574,            0.033165,           0.0053665,                   0,             0.00802,             0.00802,             0.00802
                   8,            0.039747,            0.013403,                   0,             0.78051,             0.81928,             0.86389,              0.4737,            0.032503,           0.0052227,                   0,             0.00769,             0.00769,             0.00769
                   9,            0.038799,            0.013388,                   0,             0.86659,             0.77141,             0.87761,             0.48511,            0.032785,           0.0050169,                   0,             0.00736,             0.00736,             0.00736
                  10,            0.038398,            0.013086,                   0,             0.81374,             0.83133,             0.87471,             0.47047,            0.032888,           0.0051911,                   0,             0.00703,             0.00703,             0.00703
                  11,             0.03757,            0.013012,                   0,             0.77037,             0.87193,             0.88025,             0.49751,            0.030929,           0.0050543,                   0,              0.0067,              0.0067,              0.0067
                  12,            0.037047,            0.012696,                   0,             0.86301,             0.80237,             0.89517,             0.49194,            0.032298,           0.0049561,                   0,             0.00637,             0.00637,             0.00637
                  13,            0.036663,            0.012599,                   0,             0.82637,             0.85886,             0.89819,             0.50522,            0.031711,           0.0048822,                   0,             0.00604,             0.00604,             0.00604
                  14,            0.036144,             0.01258,                   0,              0.8635,             0.84854,             0.90157,             0.52417,            0.031485,           0.0048164,                   0,             0.00571,             0.00571,             0.00571
                  15,            0.035559,            0.012354,                   0,             0.83503,             0.83634,             0.88747,             0.53229,            0.030621,           0.0048551,                   0,             0.00538,             0.00538,             0.00538
                  16,             0.03534,            0.012336,                   0,             0.84553,             0.85198,             0.90483,             0.53423,            0.030311,           0.0047496,                   0,             0.00505,             0.00505,             0.00505
                  17,            0.034935,            0.012142,                   0,             0.83548,             0.84781,             0.89905,             0.52841,             0.03077,           0.0047302,                   0,             0.00472,             0.00472,             0.00472
                  18,            0.034508,            0.012137,                   0,              0.8449,             0.86262,             0.90369,             0.53608,            0.030673,           0.0047416,                   0,             0.00439,             0.00439,             0.00439
                  19,            0.033867,            0.011976,                   0,             0.84626,              0.8864,             0.91224,             0.53284,            0.029588,           0.0046262,                   0,             0.00406,             0.00406,             0.00406
                  20,            0.033605,             0.01179,                   0,             0.83076,             0.88711,             0.91262,             0.54433,            0.029507,            0.004581,                   0,             0.00373,             0.00373,             0.00373
                  21,            0.033251,            0.011734,                   0,             0.85054,             0.85213,             0.90632,             0.54591,             0.02926,           0.0045895,                   0,              0.0034,              0.0034,              0.0034
                  22,            0.032758,            0.011598,                   0,             0.87043,              0.8903,             0.92219,             0.56628,            0.027959,           0.0044468,                   0,             0.00307,             0.00307,             0.00307
                  23,            0.032254,            0.011509,                   0,             0.87424,             0.90706,             0.92876,             0.56854,            0.028524,            0.004421,                   0,             0.00274,             0.00274,             0.00274
                  24,            0.031904,            0.011481,                   0,             0.88998,             0.87714,              0.9253,             0.56917,            0.028052,           0.0044327,                   0,             0.00241,             0.00241,             0.00241
                  25,            0.031329,            0.011232,                   0,             0.87534,             0.87091,             0.92294,             0.57572,            0.028276,            0.004436,                   0,             0.00208,             0.00208,             0.00208
                  26,            0.030998,            0.011114,                   0,             0.85793,             0.88124,             0.91513,             0.56931,            0.028301,           0.0044586,                   0,             0.00175,             0.00175,             0.00175
                  27,            0.030564,             0.01116,                   0,             0.88336,             0.87336,             0.92365,             0.58017,            0.027333,           0.0043406,                   0,             0.00142,             0.00142,             0.00142
                  28,            0.030418,            0.011073,                   0,             0.88038,             0.88468,             0.92102,             0.57423,            0.027443,           0.0043334,                   0,             0.00109,             0.00109,             0.00109
                  29,            0.029904,            0.011015,                   0,             0.87042,             0.87869,             0.91988,             0.58158,            0.027139,           0.0043217,                   0,             0.00076,             0.00076,             0.00076
