               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.070719,            0.020449,                   0,             0.58095,             0.54978,              0.5626,             0.24643,            0.042803,           0.0074873,                   0,            0.070054,           0.0033273,           0.0033273
                   1,            0.049096,            0.016748,                   0,             0.72917,               0.696,             0.76526,             0.39401,            0.037681,           0.0067371,                   0,            0.039834,           0.0064409,           0.0064409
                   2,            0.046351,            0.015826,                   0,             0.70487,             0.65943,             0.72478,             0.38678,            0.038101,           0.0070448,                   0,           0.0093945,           0.0093344,           0.0093344
                   3,            0.045437,            0.016063,                   0,             0.79127,             0.65257,             0.76286,             0.42839,            0.034294,           0.0066199,                   0,             0.00901,             0.00901,             0.00901
                   4,            0.042537,            0.015513,                   0,             0.80737,             0.73714,             0.82757,             0.47553,            0.033415,           0.0064021,                   0,             0.00901,             0.00901,             0.00901
                   5,            0.040674,            0.014945,                   0,             0.75264,             0.73943,             0.81206,             0.49219,            0.031004,           0.0063234,                   0,             0.00868,             0.00868,             0.00868
                   6,            0.039281,            0.014314,                   0,             0.82594,             0.78092,             0.85792,             0.51077,            0.030296,           0.0058956,                   0,             0.00835,             0.00835,             0.00835
                   7,             0.03817,            0.014085,                   0,             0.82729,             0.77738,             0.85345,             0.52893,            0.029357,           0.0058361,                   0,             0.00802,             0.00802,             0.00802
                   8,            0.037059,            0.013762,                   0,             0.84282,             0.78439,             0.86218,             0.52594,             0.02958,           0.0057334,                   0,             0.00769,             0.00769,             0.00769
                   9,            0.036183,            0.013677,                   0,             0.82791,             0.81924,             0.88718,             0.55113,             0.02805,           0.0054953,                   0,             0.00736,             0.00736,             0.00736
                  10,            0.035271,            0.013399,                   0,             0.84623,             0.83647,             0.89338,             0.57802,            0.027397,           0.0053283,                   0,             0.00703,             0.00703,             0.00703
                  11,            0.034877,            0.013137,                   0,             0.86822,             0.83886,             0.90083,              0.5881,            0.026921,           0.0053901,                   0,              0.0067,              0.0067,              0.0067
                  12,            0.033771,            0.012985,                   0,             0.87317,             0.83086,             0.90251,             0.59694,            0.026803,           0.0052589,                   0,             0.00637,             0.00637,             0.00637
                  13,            0.033403,            0.012838,                   0,             0.87741,             0.85071,               0.917,              0.6092,            0.025657,           0.0050639,                   0,             0.00604,             0.00604,             0.00604
                  14,            0.032772,             0.01256,                   0,             0.89189,             0.84854,             0.92559,             0.62818,            0.024971,           0.0049453,                   0,             0.00571,             0.00571,             0.00571
                  15,            0.032678,            0.012425,                   0,             0.90324,             0.85348,             0.92481,             0.62291,            0.024983,            0.004995,                   0,             0.00538,             0.00538,             0.00538
                  16,            0.032359,            0.012316,                   0,             0.88602,             0.87063,             0.91973,              0.6208,            0.025214,           0.0049613,                   0,             0.00505,             0.00505,             0.00505
                  17,            0.031659,            0.012175,                   0,             0.86725,               0.856,             0.91737,             0.62139,            0.025098,           0.0049655,                   0,             0.00472,             0.00472,             0.00472
                  18,            0.031128,            0.012097,                   0,             0.87914,             0.86455,             0.91755,             0.63996,            0.024273,           0.0048719,                   0,             0.00439,             0.00439,             0.00439
                  19,            0.031119,            0.011963,                   0,             0.88636,             0.86514,             0.92474,             0.64632,            0.024042,           0.0048318,                   0,             0.00406,             0.00406,             0.00406
                  20,            0.030639,            0.011804,                   0,             0.89614,             0.86629,             0.93171,             0.66062,            0.023176,           0.0047174,                   0,             0.00373,             0.00373,             0.00373
                  21,            0.029668,            0.011862,                   0,             0.88608,             0.88005,             0.93268,             0.66319,             0.02288,           0.0046436,                   0,              0.0034,              0.0034,              0.0034
                  22,            0.029306,            0.011555,                   0,             0.89404,             0.88711,             0.93485,             0.66079,              0.0227,           0.0046685,                   0,             0.00307,             0.00307,             0.00307
                  23,            0.029006,            0.011578,                   0,              0.8962,             0.87816,             0.93823,             0.66453,            0.022909,           0.0046278,                   0,             0.00274,             0.00274,             0.00274
                  24,            0.028363,            0.011368,                   0,              0.9109,             0.86857,             0.93222,              0.6758,            0.022639,           0.0045944,                   0,             0.00241,             0.00241,             0.00241
                  25,            0.028188,            0.011177,                   0,             0.88916,             0.88343,             0.93353,             0.67546,             0.02222,           0.0045729,                   0,             0.00208,             0.00208,             0.00208
                  26,            0.028105,            0.011135,                   0,             0.89523,             0.89845,             0.94185,             0.68442,            0.021909,           0.0045246,                   0,             0.00175,             0.00175,             0.00175
                  27,            0.027256,            0.011188,                   0,             0.90023,             0.88688,             0.93723,             0.68622,             0.02178,           0.0044979,                   0,             0.00142,             0.00142,             0.00142
                  28,            0.026956,               0.011,                   0,             0.89264,               0.888,             0.93939,             0.69142,            0.021435,           0.0044891,                   0,             0.00109,             0.00109,             0.00109
                  29,            0.026381,            0.010806,                   0,             0.89285,             0.88565,             0.93448,             0.69364,            0.021482,           0.0044853,                   0,             0.00076,             0.00076,             0.00076
